Date,Topics,6e sec,6e pages,7e sec,7e pages,8e sec,8e pages,Tutorials
28 Aug,Introduction to astronomy,,,1,2-16,1,2-16,
30 Aug,The celestial sphere,,,2.1,25-30,2.1,25-31,1-4 (Motion, Part I)
4 Sept,The daily motion of the sky,,,2.1,31-32,2.1,,5-6 (Motion, Part II)
6 Sept,The yearly motion of the sky,,,2.2,32-38,2.1,31-32,7-12,13-16
11 Sept,Solar and sidereal days,,,(continued),(continued),2.2,32-39,13-16
13 Sept,The seasons,,,2.3,39-42,2.3,39-42,93-98 (Seasons)
18 Sept,Finishing the seasons; phases of the Moon,,,2.3-4,42-48,2.3-4,42-48,81-88 (Moon phases)
20 Sept,Finishing phases of the Moon; things that don’t fit,,,3.1-2,54-61,3.1-2,54-61,
25 Sept,EXAM 1,,,,,,,
27 Sept,From geocentrism to heliocentrism,,,3.3,61-65,3.3,61-65,
2 Oct,Kepler’s laws of orbital motion,,,3.3-4,65-75,3.3-4,65.75,21-28
4 Oct,The law of universal gravitation,,,4.1-2,83-90,4.1-2,83-90,
9 Oct,Newton’s laws of motion,,,4.3,90-100,4.3,90-100,29-32
11 Oct,The conservation of energy; the nature of science,,,,,,,Provided
16 Oct,EXAM 2,,,,,,,
18 Oct,The nature of science,,,,,,,None
23 Oct,The nature of light,5.1,111-117,5.1,106-111,5.1,106-111,47-49
25 Oct,Thermal radiation,5.2,117-124,5.2,116-117,5.2,116-117,59-62
30 Oct,Atomic energy levels; absorption and emission,5.2,117-124,5.2,112-120,5.2,112-120,65-69
1 Nov,Putting it all together: spectroscopy,5.2,117-124,5.2,112-120,5.2,112-120,71-74
6 Nov,Composition of and workings of the Sun,10.1-2,287-297,11.1,285-294,11.1,288-298,None
8 Nov,EXAM 3,,,,,,,
13 Nov,The formation of stars and planets,,,,,,,111-112
15 Nov,The nature of atmospheres,,,,,,,105-110
27 Nov,Climate change in depth,,,,,,,
29 Nov,Spaceflight: getting to the Moon,,,,,,,
4 Dec,Humanity and the cosmos: ad astra per aspera!,,,,,,,
6 Dec,Humanity and the cosmos: ad astra per aspera!, II,,,,,,,
11 Dec,**FINAL EXAM**: 3pm-5pm,,,,,,,
